step,loss
200,0.539
400,0.451
600,0.407
800,0.365
1000,0.331
1200,0.328
1400,0.314
1600,0.295
1800,0.275
2000,0.286
2200,0.265
2400,0.244
2600,0.251
2800,0.227
3000,0.229
3200,0.23
3400,0.213
3600,0.207
3800,0.206
4000,0.191
4200,0.189
4400,0.184
4600,0.184
4800,0.172
5000,0.187
5200,0.175
5400,0.169
5600,0.165
5800,0.162
6000,0.172
6200,0.151
6400,0.162
6600,0.159
6800,0.155
7000,0.162
7200,0.165
7400,0.159
